Campaign_ID,Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Spend,ROI,Location,Language,Clicks,Impressions,Customer_Segment,Date,Company
578191,Women 25-34,Brand Awareness,30 Days,Twitter,"0,12","6924,23","6,96",New York,French,17993,54817,Fashion,2022-12-31 00:00:00,Chic Couture
737574,Men 25-34,Increase Sales,30 Days,Twitter,"0,13","5244,02","2,11",Las Vegas,French,13441,41332,Fashion,2022-03-16 00:00:00,Mode Maven
199313,Women 25-34,Brand Awareness,30 Days,Twitter,"0,14","4998,43","4,68",Miami,English,12767,39336,Food,2022-06-07 00:00:00,Epicurean Edge
163358,Women 25-34,Market Expansion,30 Days,Instagram,"0,13","6687,44","5,58",Las Vegas,English,17343,52889,Food,2022-10-04 00:00:00,Bistro Bliss
149567,Women 18-24,Market Expansion,60 Days,Instagram,"0,13","14346,04","6,42",Las Vegas,English,37355,112167,Fashion,2022-11-05 00:00:00,Trend Tailors
606046,Women 25-34,Product Launch,45 Days,Pinterest,"0,06","10977,54","0,150147701",Los Angeles,English,17037,56458,Fashion,2022-05-07 00:00:00,Vogue Visions
327645,Men 18-24,Product Launch,15 Days,Pinterest,"0,03","3079,81","0,82044994",Austin,English,4455,15489,Fashion,2022-10-31 00:00:00,Fiber Fashion
601838,Women 18-24,Brand Awareness,60 Days,Facebook,"0,14","12736,84","2,01",Los Angeles,Spanish,33705,101356,Fashion,2022-07-23 00:00:00,Attire Artistry
161662,Men 25-34,Market Expansion,30 Days,Facebook,"0,13","4913,85","5,42",New York,French,12537,38655,Fashion,2022-04-19 00:00:00,Attire Artistry
618477,Women 18-24,Increase Sales,30 Days,Pinterest,"0,11","5658,83","0,868711701",Miami,English,8556,28844,Fashion,2022-04-17 00:00:00,Attire Artistry
467155,Men 35-44,Brand Awareness,60 Days,Instagram,"0,11","11891,32","4,42",New York,Spanish,31483,94773,Fashion,2022-09-15 00:00:00,Attire Artistry
317560,Women 18-24,Brand Awareness,60 Days,Pinterest,"0,05","14741,11","0,770400706",Las Vegas,Spanish,22336,73712,Fashion,2022-03-04 00:00:00,Attire Artistry
471178,Women 25-34,Increase Sales,60 Days,Instagram,"0,11","14304,06","0,82",Austin,English,37279,111942,Fashion,2022-10-31 00:00:00,Fiber Fashion
851405,Women 25-34,Brand Awareness,60 Days,Twitter,"0,1","14958,73","6,39",Los Angeles,French,38349,115110,Fashion,2022-07-19 00:00:00,Attire Artistry
581301,Women 25-34,Product Launch,60 Days,Instagram,"0,1","14531,25","4,69",Los Angeles,Spanish,37689,113155,Fashion,2022-05-20 00:00:00,Vogue Visions
796464,Women 25-34,Market Expansion,15 Days,Twitter,"0,11","2367,79","2,83",Los Angeles,English,5791,18674,Food,2022-04-14 00:00:00,Epicurean Edge
630463,Women 18-24,Brand Awareness,60 Days,Instagram,"0,03","11927,23","2,35",Austin,Spanish,31581,95063,Food,2022-12-04 00:00:00,Feast Flavors
184244,Men 35-44,Increase Sales,60 Days,Twitter,"0,09","12400,08","6,89",Las Vegas,French,32826,98751,Fashion,2022-03-14 00:00:00,Fiber Fashion
958249,Men 25-34,Market Expansion,45 Days,Twitter,"0,14","7761,72","1,39",Las Vegas,English,20267,61551,Fashion,2022-11-28 00:00:00,Attire Artistry
290410,Men 25-34,Product Launch,45 Days,Facebook,"0,04","9436,75","7,58",New York,Spanish,24804,74991,Fashion,2022-06-22 00:00:00,Chic Couture
931854,Women 35-44,Product Launch,60 Days,Facebook,"0,07","11477,05","4,87",Austin,Spanish,30379,91504,Food,2022-03-14 00:00:00,Savor Street
717257,Men 25-34,Product Launch,15 Days,Instagram,"0,02","1570,11",7,Austin,French,3954,13233,Fashion,2022-07-25 00:00:00,Mode Maven
463721,Women 35-44,Product Launch,45 Days,Facebook,"0,02","10044,96","1,16",New York,English,26471,79929,Fashion,2022-01-21 00:00:00,Attire Artistry
670303,Men 18-24,Increase Sales,15 Days,Twitter,"0,03","1607,53","0,36",Las Vegas,English,4026,13446,Fashion,2022-02-11 00:00:00,Vogue Visions
887040,Men 25-34,Product Launch,45 Days,Pinterest,"0,11","8306,18","0,479042667",New York,French,12778,42590,Food,2022-05-07 00:00:00,Dine Divine
144146,Women 25-34,Product Launch,30 Days,Pinterest,"0,08","7447,99","0,318170129",Las Vegas,Spanish,11391,38075,Food,2022-11-04 00:00:00,Feast Flavors
221356,Men 25-34,Product Launch,45 Days,Facebook,"0,13","10880,57","3,55",Los Angeles,English,28750,86679,Fashion,2022-03-20 00:00:00,Glam Garments
134792,Women 35-44,Product Launch,45 Days,Twitter,"0,12","9942,22","1,21",Miami,English,26190,79095,Food,2022-06-05 00:00:00,Gourmet Grove
960615,Men 35-44,Increase Sales,60 Days,Instagram,"0,06","12446,3","2,38",Austin,French,32949,99115,Fashion,2022-10-21 00:00:00,Glam Garments
658669,Men 25-34,Product Launch,15 Days,Instagram,"0,05","2359,64","7,75",Miami,French,5768,18606,Fashion,2022-03-30 00:00:00,Vogue Visions
314769,Women 25-34,Product Launch,45 Days,Facebook,"0,1","8984,45","0,85",Las Vegas,English,23584,71377,Food,2022-04-22 00:00:00,Culinary Quest
695244,Men 35-44,Increase Sales,60 Days,Twitter,"0,14","14327,24","5,73",New York,English,37321,112065,Food,2022-04-21 00:00:00,Dine Divine
715189,Men 35-44,Market Expansion,15 Days,Instagram,"0,06","1619,22","5,88",Los Angeles,French,4050,13515,Fashion,2022-06-18 00:00:00,Glam Garments
500604,Men 18-24,Brand Awareness,30 Days,Facebook,"0,12","4867,59","1,83",New York,French,12412,38285,Fashion,2022-10-06 00:00:00,Runway Rebels
120844,Women 25-34,Product Launch,45 Days,Facebook,"0,1","9514,42","7,6",Las Vegas,French,25019,75628,Fashion,2022-08-15 00:00:00,Mode Maven
835575,Men 35-44,Product Launch,45 Days,Twitter,"0,09","8422,38","4,88",Las Vegas,Spanish,22075,66906,Fashion,2022-07-26 00:00:00,Silk & Style
230250,Women 18-24,Market Expansion,15 Days,Facebook,"0,09","2794,2","1,28",Austin,French,6840,21781,Food,2022-12-25 00:00:00,Gastronomy Guild
501799,Men 25-34,Increase Sales,30 Days,Pinterest,"0,12","6834,08","0,479042667",Austin,French,10422,34917,Fashion,2022-07-09 00:00:00,Mode Maven
523122,Women 35-44,Increase Sales,60 Days,Facebook,"0,13","13220,63","2,07",Las Vegas,French,34922,104961,Fashion,2022-07-19 00:00:00,Trend Tailors
